DESCRIPTION
"indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic box ccc/pse/vde/culus electric indicator, very fast blow, 1.6a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"non resettable indicators electric indicator, time lag blow, 5a, 250vac, 150vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bulk ccc/pse/culus electric indicator, time lag blow, 6.3a, 250vac, 150vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bulk kc/pse/vde/culus electric indicator, time lag blow, 8a, 250vac, 150vdc, 1000a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 16a 250v holder plastic 5 x 20mm ceramic box ccc/csa/pse/ul/vde/culus electric indicator, time lag blow, 16a, 250vac, 125vdc, 500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 6.3a 250v holder plastic 6.3 x 32mm glass box ul electric indicator, time lag blow, 6.3a, 250vac, 1500a (ir), h, inline/holder"
"indicator red slow blow movement 16a 250v holder plastic 6.3 x 32mm glass box ul electric indicator, time lag blow, 16a, 250vac, 1000a (ir), h, inline/holder"
"indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 1a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 1a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 1a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 1.25a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 1.25a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 1.25a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 1.25a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 1.25a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 1.6a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 1.6a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 1.6a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 1.6a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 2a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 2a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 2a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 2.5a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 2.5a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 2.5a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 3.15a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 3.15a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 3.15a, 250vac, 300vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 4a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 4a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 5a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 5a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 5a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 5a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 5a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 6.3a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 6.3a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 6.3a, 250vac, 150vdc, 1500a (ir), surface mount"
"indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 8a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 8a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 8a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicator red slow blow movement 10a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 10a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicators pn electric indicator, time lag blow, 10a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicator red slow blow movement 10a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 10a, 250vac, 150vdc, 1000a (ir), surface mount"
"indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 12.5a, 250vac, 125vdc, 500a (ir), surface mount"
"indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 12.5a, 250vac, 125vdc, 500a (ir), surface mount"
"indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic bag ccc/vde/culus electric indicator, time lag blow, 16a, 250vac, 125vdc, 500a (ir), surface mount"
"indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic t/r ccc/vde/culus electric indicator, time lag blow, 16a, 250vac, 125vdc, 500a (ir), surface mount"
"indicator holder 20a 500vac solder lug panel mount box indicator accessory, indicator holder"
indicator holder 16a 250vac solder lug through hole box rotary switch-
indicator holder 20a 250vac solder lug panel mount box indicator accessory
indicator holder 20a 250vac quick connect panel mount box indicator accessory
indicator holder 30a 500vac through hole pin box indicator accessory
"indicator holder 6.3a 250vac solder through hole box indicator accessory, indicator clip"
"indicator holder 12a 250vac pin through hole box indicator accessory, indicator holder"
"indicator holder 16a 250vac through hole pin box indicator accessory, indicator holder"
indicator holder 10a 250vac panel mount quick connect box indicators/accessories
"indicator holder 6.3a 250v pin through hole box indicator accessory, indicator holder"
indicator holder surface mount tapend reel indicators/accessories
"indicator holder 10a 250v snap-in through hole box indicator accessory, indicator holder"
indicator holder 10a 500vdc clip holder box indicator accessory
"indicator red very fast movement 8a 250v holder plastic 5 x 20mm ceramic box electric indicator, super fast blow, 8a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"indicator red very fast movement 6.3a 250v holder plastic 6.3 x 32mm glass box electric indicator, super fast blow, 6.3a, 250vac, 1500a (ir), inline/holder"
indicator 0.002a 250v fast movement 2-pin box indicator
"indicator red fast movement 1a 250v axial 5 x 20mm glass box electric indicator, very fast blow, 1a, 250vac, 35a (ir), through hole"
"indicator red fast movement 1a 250v axial 5 x 20mm glass t/r electric indicator, very fast blow, 1a, 250vac, 35a (ir), through hole"
"red indicator, 5 x 20 mm, quick-movement f, l, 250 vac electric indicator, fast blow, 1.6a, 250vac, 35a (ir), inline/holder, 5x20mm"
"indicator red fast movement 3.15a 250v holder plastic 5 x 20mm glass ccc/pse/vde/culus electric indicator, fast blow, 3.15a, 250vac, 35a (ir), inline/holder, 5x20mm"
"indicator red fast movement 8a 250v holder plastic 5 x 20mm glass pse/vde/culus electric indicator, fast blow, 8a, 250vac, 80a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 1.6a 250v holder plastic 5 x 20mm ceramic box electric indicator, medium time lag blow, 1.6a, 250vac, 125vdc, 1000a (ir), inline/holder"
"indicator red medium time delay movement 2.5a 250v holder plastic 5 x 20mm ceramic box electric indicator, medium time lag blow, 2.5a, 250vac, 125vdc, 1000a (ir), inline/holder"
"non resettable indicators electric indicator, medium time lag blow, 4a, 250vac, 125vdc, 1000a (ir), inline/holder"
"indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic box electric indicator, medium time lag blow, 6.3a, 250vac, 125vdc, 1000a (ir), inline/holder"
indicator red slow blow movement 0.08a 250v holder plastic 5 x 20mm glass box ccc/vde/culus electric indicator
"red indicator, 5 x 20 mm, time-lag t, l, 250 vac electric indicator"
indicator red slow blow movement 1a 250v holder plastic 5 x 20mm glass box ccc/pse/vde/culus electric indicator
"indicator red slow blow movement 2a 250v axial 5.4 x 22.5mm glass bulk culus electric indicator, time lag blow, 2a, 250vac, 35a (ir), through hole"
indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm glass box ccc/pse/vde/culus electric indicator
indicator red slow blow movement 4a 250v holder plastic 5 x 20mm glass box ccc/pse/vde/culus electric indicator
"indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm glass box ccc/pse/vde/culus electric indicator, time lag blow, 6.3a, 250vac, 63a (ir), l, inline/holder, 5x20mm"
"red indicator, 5 x 20 mm, time-lag t, l, 250 vac electric indicator, time lag blow, 10a, 250vac, 100a (ir), l, inline/holder, 5x20mm"
"indicator red slow blow movement 16a 250v holder plastic 5 x 20mm glass box pse/vde/culus electric indicator, time lag blow, 16a, 250vac, 160a (ir), l, inline/holder, 5x20mm"
"indicator red slow blow movement 2a 250v holder plastic 6.3 x 32mm glass box csa electric indicator, time lag blow, 2a, 250vac, 35a (ir), inline/holder"
"indicator red slow blow movement 20a 250v holder plastic 6.3 x 32mm glass box csa electric indicator, time lag blow, 20a, 250vac, 200a (ir), inline/holder"
"indicator red slow blow movement 1.25a 250v holder plastic 5 x 20mm glass box culus electric indicator, time lag blow, 1.25a, 250vac, 100a (ir), inline/holder"
"indicator red fast movement 6.3a 250v holder plastic melf 5 x 20mm glass bulk culus electric indicator, very fast blow, 6.3a, 250vac, 200a (ir), inline/holder"
indicator red slow blow movement 1a 250v holder plastic 5 x 20mm csa/ul indicator
"indicator 1a 125v fast movement electric indicator, very fast blow, 1a, 125vac, 125vdc, 100a (ir), through hole"
indicator 0.063a 250v super time lag movement indicator
"indicator misc, non resettable indicators, red indicators, typ ftt 5x20 indicator"
"indicator red slow blow movement 5a 250v holder plastic 5 x 20mm glass t/r csa/vde/culus electric indicator, time lag blow, 5a, 250vac, 10a (ir), l, surface mount, 5x20mm"
"indicator red slow blow movement 10a 250v holder plastic 5 x 20mm glass t/r csa/vde/culus electric indicator, time lag blow, 10a, 250vac, 10a (ir), l, surface mount, 5x20mm"
"indicator subred slow blow movement 0.1a 250v radial 8.5 x 8.5mm thermoplastic bag ccc/csa/pse/ul/vde/culus electric indicator, time lag blow, 0.1a, 250vac, 125vdc, 35a (ir), through hole"
"indicator subred slow blow movement 2.5a 250v 8.5 x 8.5mm thermoplastic ccc/pse/vde/culus electric indicator, time lag blow, 2.5a, 250vac, 100a (ir), through hole"
"indicator subred slow blow movement 6.3a 250v 8.5 x 8.5mm thermoplastic box ccc/pse/vde/culus electric indicator, time lag blow, 6.3a, 250vac, 100a (ir), through hole"
"indicator clip 10a through hole pin bulk indicator accessory, indicator clip"
"indicator clip 15a through hole pin bulk indicator accessory, indicator clip"
"indicator clip 10a panel mount pin indicator accessory, indicator clip"
"indicator clip 30a 250vdc/250vac through hole pin bulk indicator accessory, indicator clip"
"indicator chip very fast movement 1a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 1a, surface mount, nano"
"indicator chip slow blow movement 1a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, time lag blow, 1a, surface mount, nano"
"indicator chip slow blow movement 2a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, time lag blow, 2a, surface mount, nano"
"indicator chip slow blow movement 3a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, time lag blow, 3a, surface mount, nano"
"indicator chip slow blow movement 4a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, time lag blow, 4a, surface mount, nano"
"indicator chip very fast movement 5a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 5a, surface mount, nano"
"indicator chip slow blow movement 5a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, time lag blow, 5a, surface mount, nano"
"indicator chip very fast movement 7a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 7a, surface mount, nano"
"indicator chip very fast movement 8a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 8a, surface mount"
"indicator chip very fast movement 0.5a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 0.5a, surface mount, nano"
"indicator chip very fast movement 0.75a smd solder pad 9.73 x 5.03 x 3.81mm t/r csa/pse/ul electric indicator, fast blow, 0.75a, surface mount, nano"
"indicator subred slow blow movement 1a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 1a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 1a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 1a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 1a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 2a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 2a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 2a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 2a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 3a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa electric indicator, fast blow, 3a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 3a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa electric indicator, fast blow, 3a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 3a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa electric indicator, fast blow, 3a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 4a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 4a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 4a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 4a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 4a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 4a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 5a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 5a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1.5a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 1.5a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 1.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 1.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 1.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2.5a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 2.5a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 2.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 2.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 2.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.062a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.062a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 0.062a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.062a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.62a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 0.062a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.125a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.125a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 0.125a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.125a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.125a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 0.125a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.25a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.25a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 0.25a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.25a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.25a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 0.25a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.5a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.5a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 0.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 0.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.75a 250v radial dip 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.75a, 250vac, 50a (ir), through hole"
"indicator subred slow blow movement 0.75a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, fast blow, 0.75a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.75a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, fast blow, 0.75a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 1a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 1a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 2a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 2a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 3a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 3a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 3a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 3a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 4a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 4a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 4a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 4a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 1.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 1.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 1.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 2.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 2.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 2.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.25a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 0.25a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.25a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 0.25a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 0.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.5a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 0.5a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.75a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic bulk csa/ul electric indicator, slow blow, 0.75a, 250vac, 50a (ir), surface mount"
"indicator subred slow blow movement 0.75a 250v smd gull wing 10.16 x 6.35 x 4.19mm thermoplastic t/r csa/ul electric indicator, slow blow, 0.75a, 250vac, 50a (ir), surface mount"
"indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm glass bulk bsi/ccc/ce/csa/pse/semko/ul electric indicator, time lag blow, 2.5a, 250vac, 250vdc, 35a (ir), through hole, 5x20mm"
"indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccc/ce/csa/kc/pse/semko/ul/vde electric indicator, time lag blow, 2a, 250vac, 1500a (ir), supplemental, inline/holder, 5x20mm"
"indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccc/ce/csa/kc/pse/semko/ul/vde electric indicator, time lag blow, 2a, 250vac, 250vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 10a 250v holder plastic 5 x 20mm ceramic bulk ce/csa/kc/pse/semko/ul/vde electric indicator, time lag blow, 10a, 1500a (ir), supplemental, 5x20mm"
"indicator red slow blow movement 12a 250v axial 5 x 20mm ceramic bulk ce/csa/pse/semko/ul electric indicator, time lag blow, 12a, 250vac, 250vdc, 1500a (ir), through hole, 5x20mm"
"indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk bsi/ccc/ce/csa/kc/pse/semko/ul/vde electric indicator, time lag blow, 2.5a, 250vac, 250vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccc/ce/csa/kc/pse/semko/ul/vde electric indicator, time lag blow, 6.3a, 250vac, 250vdc, 1500a (ir), inline/holder, 5x20mm"
